long,lat
-92.08333333,15.25
-95.91666667,17.08333333
-99.91666667,18.91666667
-106.0833333,24.41666667
-105.75,23.75
-97.25,19.41666667
-91.91666667,16.58333333
-97.25,18.75
-96.75,18.08333333
-98.41666667,17.25
-106.0833333,24.25
-106.5833333,24.91666667
-91.75,15.08333333
-91.25,14.91666667
-99.25,21.58333333
-96.08333333,17.41666667
-91.41666667,15.08333333
-91.75,16.41666667
-96.75,19.75
-91.91666667,16.41666667
-99.91666667,19.08333333
-106.4166667,25.08333333
-96.58333333,17.75
-96.91666667,19.58333333
-99.08333333,21.08333333
-98.58333333,20.08333333
-96.25,16.25
-97.75,19.75
-91.91666667,15.25
-104.5833333,20.08333333
-92.25,15.41666667
-106.25,24.75
-95.91666667,16.91666667
-105.4166667,23.41666667
-91.08333333,15.41666667
-105.75,23.58333333
-98.25,20.75
-101.4166667,19.41666667
-105.5833333,23.58333333
-98.58333333,20.41666667
-100.75,19.58333333
-97.75,17.08333333
-97.25,19.25
-91.41666667,14.91666667
-98.41666667,20.25
-97.08333333,16.75
-105.9166667,24.25
-97.58333333,16.91666667
-96.25,16.91666667
-103.5833333,19.58333333
-98.25,17.25
-98.91666667,21.58333333
-96.75,17.25
-97.25,16.75
-91.58333333,15.25
-91.91666667,15.41666667
-106.5833333,25.25
-98.58333333,17.25
-100.5833333,19.58333333
-98.75,20.25
-96.75,17.58333333
-106.25,25.08333333
-101.5833333,19.41666667
-95.75,16.91666667
-100.75,19.75
-100.0833333,19.25
-92.25,15.25
-97.41666667,19.58333333
-104.75,20.58333333
-91.91666667,15.08333333
-92.91666667,17.25
-100.5833333,19.75
-104.5833333,20.25
-98.75,21.25
-98.25,20.08333333
-100.0833333,19.08333333
-99.75,19.25
-101.5833333,19.25
-100.25,25.25
-104.5833333,20.41666667
-99.75,18.91666667
-105.0833333,20.41666667
-97.08333333,19.91666667
-98.58333333,20.25
-92.91666667,17.08333333
-104.75,20.25
-96.91666667,16.91666667
-106.4166667,25.25
-104.5833333,20.58333333
-96.41666667,16.25
-98.75,18.91666667
-102.4166667,19.41666667
-96.25,17.41666667
-97.08333333,18.25
-99.91666667,19.25
-95.91666667,17.25
-96.41666667,16.91666667
-102.0833333,19.41666667
-104.4166667,20.25
-97.25,18.58333333
-98.58333333,18.91666667
-97.08333333,16.91666667
-97.91666667,17.25
-105.5833333,23.91666667
-96.58333333,17.08333333
-102.9166667,18.75
-96.91666667,18.58333333
-98.08333333,17.25
-97.58333333,17.08333333
-106.0833333,24.91666667
-99.58333333,23.91666667
-106.0833333,24.58333333
-104.9166667,20.41666667
-91.75,14.91666667
-106.0833333,24.75
-97.58333333,16.75
-96.91666667,19.08333333
-105.25,23.41666667
-101.75,19.41666667
-105.75,24.08333333
-105.0833333,23.25
-104.75,20.75
-91.58333333,14.91666667
-100.25,25.08333333
-91.08333333,14.91666667
-97.41666667,20.08333333
-102.25,19.41666667
-100.25,19.41666667
-97.41666667,16.75
-91.75,15.41666667
-98.08333333,17.08333333
-92.41666667,15.41666667
-101.25,19.41666667
-103.75,19.91666667
-100.5833333,19.91666667
-106.25,24.91666667
-105.4166667,23.25
-97.25,16.25
-98.41666667,20.91666667
-105.75,24.25
-100.4166667,25.41666667
-90.91666667,15.41666667
-104.75,20.41666667
-105.0833333,22.75
-105.9166667,24.58333333
-116.75,31.75
-104.75,22.58333333
-99.25,21.25
-98.75,20.08333333
-100.4166667,19.58333333
-91.41666667,14.75
-100.25,19.58333333
-100.25,24.91666667
-104.75,22.41666667
-106.9166667,25.41666667
-105.25,23.58333333
-103.0833333,19.58333333
-100.25,19.75
-91.08333333,15.58333333
-101.9166667,19.58333333
-93.08333333,17.25
-106.5833333,25.08333333
-98.08333333,19.91666667
-101.4166667,19.58333333
-105.0833333,23.41666667
-103.75,20.08333333
-99.75,19.08333333
-101.75,19.58333333
-99.25,21.75
-104.75,22.25
-98.75,20.58333333
-97.41666667,19.08333333
-100.9166667,19.75
-100.4166667,25.25
-99.58333333,19.08333333
-105.9166667,24.75
-105.5833333,23.75
-98.75,20.41666667
-88.75,14.58333333
-99.91666667,24.41666667
-91.41666667,15.25
-99.75,23.75
-96.58333333,16.25
-102.9166667,19.75
-99.75,23.91666667
-99.75,18.58333333
-103.25,19.25
-104.4166667,19.91666667
-104.75,22.91666667
-92.08333333,16.25
-106.25,25.25
-92.25,15.58333333
-98.91666667,20.41666667
-91.91666667,16.25
-97.91666667,19.75
-105.9166667,23.91666667
-96.08333333,16.25
-96.41666667,16.08333333
-96.91666667,18.75
-105.9166667,24.41666667
-104.75,22.75
-104.9166667,20.58333333
-91.08333333,14.75
-102.4166667,19.58333333
-98.41666667,20.08333333
-105.4166667,23.08333333
-104.4166667,20.41666667
-96.91666667,16.75
